method,terrain,metric,mean,std,max,min,smoothed_mean,smoothed_max
ours,stepping_stones,traverse_rate,36.5881,3.2362,51.3319,25.6227,36.5842,41.1423
ours,stepping_stones,survival_rate,34.5525,7.0376,60.0000,8.0000,34.5763,41.5573
ours,stepping_stones,success_rate,2.6265,2.2329,12.0000,0.0000,2.6244,4.7928
ours,stepping_stones,success@0.5,23.4652,6.1933,52.0000,4.0000,23.4526,31.4411
ours,stepping_stones,success@0.8,5.5282,3.2959,20.0000,0.0000,5.5249,9.9212
ours,parkour,traverse_rate,39.2986,3.4375,51.6813,26.7312,39.2947,43.3840
ours,parkour,survival_rate,43.7857,7.2446,66.0000,22.0000,43.7851,53.3940
ours,parkour,success_rate,3.2316,2.5104,18.0000,0.0000,3.2315,7.0520
ours,parkour,success@0.5,29.4565,6.6598,52.0000,8.0000,29.4502,36.9962
ours,parkour,success@0.8,6.7737,3.6064,22.0000,0.0000,6.7665,11.5682
ours,gap,traverse_rate,48.6831,3.5232,62.5810,37.3274,48.6776,53.5099
ours,gap,survival_rate,78.5555,6.4035,98.0000,54.0000,78.5394,86.3946
ours,gap,success_rate,5.3572,3.2729,22.0000,0.0000,5.3634,10.3554
ours,gap,success@0.5,44.7591,7.3010,70.0000,22.0000,44.7535,55.3439
ours,gap,success@0.8,11.0287,4.5270,28.0000,0.0000,11.0304,17.2252
ours,stair,traverse_rate,40.9476,3.3003,53.1955,27.9296,40.9367,45.4292
ours,stair,survival_rate,62.3076,7.2821,90.0000,32.0000,62.3147,72.3529
ours,stair,success_rate,2.4945,2.2489,18.0000,0.0000,2.4915,5.4102
ours,stair,success@0.5,31.8774,6.9498,58.0000,6.0000,31.8499,39.7212
ours,stair,success@0.8,5.0030,3.1512,18.0000,0.0000,5.0010,8.3420
ours,global,Episode/lin_vel_tracking_error,0.2076,0.0093,0.2686,0.1793,0.2076,0.2148
ours,global,Episode/rew_feet_slippage,-0.0643,0.0024,-0.0566,-0.0736,-0.0643,-0.0613
ours,global,Attention/entropy_avg,4.7857,0.0087,4.8201,4.7473,4.7857,4.7978
ours,global,Attention/prior_attn_cosine,0.9721,0.0007,0.9747,0.9695,0.9721,0.9731
ours,global,Attention/front_region_weight,0.2805,0.0026,0.2886,0.2712,0.2805,0.2838
ours,global,Attention/top10_ratio,0.1826,0.0024,0.1927,0.1730,0.1826,0.1857
ours,global,Attention/max_weight,0.0215,0.0003,0.0227,0.0201,0.0215,0.0220
depth_baseline,stepping_stones,traverse_rate,34.7219,3.1418,47.8409,23.8272,34.7235,39.0075
depth_baseline,stepping_stones,survival_rate,28.0183,6.5026,50.0000,6.0000,28.0255,35.2039
depth_baseline,stepping_stones,success_rate,2.1775,2.0480,14.0000,0.0000,2.1766,4.7230
depth_baseline,stepping_stones,success@0.5,19.9134,5.9867,44.0000,2.0000,19.9145,27.4036
depth_baseline,stepping_stones,success@0.8,4.3713,2.9165,18.0000,0.0000,4.3721,8.0028
depth_baseline,parkour,traverse_rate,38.8207,3.3058,50.2608,26.1134,38.8194,42.6522
depth_baseline,parkour,survival_rate,39.3120,6.9240,68.0000,16.0000,39.3011,50.3728
depth_baseline,parkour,success_rate,2.6434,2.2743,14.0000,0.0000,2.6427,5.8755
depth_baseline,parkour,success@0.5,29.2751,6.4464,52.0000,8.0000,29.2732,36.2776
depth_baseline,parkour,success@0.8,5.8964,3.3730,22.0000,0.0000,5.8956,9.8262
depth_baseline,gap,traverse_rate,49.1186,3.3826,61.8955,37.5388,49.1252,52.8344
depth_baseline,gap,survival_rate,77.0636,6.0719,94.0000,48.0000,77.0749,83.2635
depth_baseline,gap,success_rate,5.3054,3.2623,20.0000,0.0000,5.3120,8.8385
depth_baseline,gap,success@0.5,45.7975,6.9430,68.0000,24.0000,45.8038,53.1998
depth_baseline,gap,success@0.8,11.1911,4.5896,28.0000,0.0000,11.1935,16.5538
depth_baseline,stair,traverse_rate,38.9149,3.2208,50.0435,25.7621,38.9165,43.1706
depth_baseline,stair,survival_rate,58.6986,7.3349,86.0000,36.0000,58.7060,67.4591
depth_baseline,stair,success_rate,1.8931,1.9439,12.0000,0.0000,1.8976,4.1464
depth_baseline,stair,success@0.5,28.8408,6.6949,54.0000,6.0000,28.8433,37.9035
depth_baseline,stair,success@0.8,3.7483,2.7422,16.0000,0.0000,3.7556,7.3453
depth_baseline,global,Episode/lin_vel_tracking_error,0.2156,0.0104,0.3097,0.1852,0.2156,0.2238
depth_baseline,global,Episode/rew_feet_slippage,-0.0611,0.0022,-0.0538,-0.0760,-0.0611,-0.0586
attn_baseline,stepping_stones,traverse_rate,36.2848,3.3839,49.2542,25.3867,36.2788,41.0768
attn_baseline,stepping_stones,survival_rate,33.2649,7.2287,60.0000,8.0000,33.2549,42.0556
attn_baseline,stepping_stones,success_rate,2.8920,2.4295,14.0000,0.0000,2.8885,5.6417
attn_baseline,stepping_stones,success@0.5,23.2293,6.2584,52.0000,4.0000,23.2228,31.3267
